,Tehsil,District,City,Latitude,Longitude
0,Narela,North West *,Delhi,28.696399688720703,77.1270980834961
1,Civil Lines,North *,Delhi,28.642963409423828,77.11587524414062
2,Seelam Pur,North East *,Delhi,28.6895,77.29749
3,Gandhi Nagar,East *,Delhi,28.450410842895508,77.01142883300781
4,Parliament Street,New Delhi,Delhi,28.630950927734375,77.21727752685547
5,Karol Bagh,Central *,Delhi,28.645000457763672,77.24500274658203
6,Punjabi Bagh,West *,Delhi,28.667579650878906,77.13147735595703
7,Najafgarh,South West *,Delhi,28.57082176208496,77.01878356933594
8,Defence Colony,South *,Delhi,28.572999954223633,77.23359680175781
9,Hauz Khas,South *,Delhi,28.551090240478516,77.2040023803711
10,Delhi Cantonment.,South West *,Delhi,28.56169319152832,77.16017150878906
11,Patel Nagar,West *,Delhi,28.655620574951172,77.1521224975586
12,Pahar Ganj,Central *,Delhi,28.645000457763672,77.24500274658203
13,Connaught Place,New Delhi,Delhi,28.633960723876953,77.21978759765625
14,Vivek Vihar,East *,Delhi,27.864299774169922,78.07103729248047
15,Shahdara,North East *,Delhi,28.693599700927734,77.30729675292969
16,Sadar Bazar,North *,Delhi,28.642963409423828,77.11587524414062
17,Saraswati Vihar,North West *,Delhi,28.69484,77.13038
18,Model Town,North West *,Delhi,28.718000411987305,77.19159698486328
19,Kotwali,North *,Delhi,28.59859,77.1269
20,Seema Puri,North East *,Delhi,28.693599700927734,77.30729675292969
21,Preet Vihar,East *,Delhi,28.614309310913086,77.48188781738281
22,Chanakya Puri,New Delhi,Delhi,28.595060348510742,77.18573760986328
23,Darya Ganj,Central *,Delhi,28.645000457763672,77.24500274658203
24,Rajouri Garden,West *,Delhi,24.882999420166016,67.03299713134766
25,Vasant Vihar,South West *,Delhi,26.866260528564453,75.78943634033203
26,Kalkaji,South *,Delhi,28.554899215698242,77.19190216064453
